"","level","basef_U","basef_C","ols_U","ols_C","wlss_U","wlss_C","wlsv_U","wlsv_C","shrink_U","shrink_C"
"1","total",12210,12210,15354,12210,19844,12210,17404,12210,21090,12210
"2","group",3539,3539,3387,3461,3253,3606,2874,2436,2939,2251
"3","network",604,604,680,686,586,629,531,478,580,505
"4","language",3498,3498,4366,3704,5364,3741,4803,3516,5729,3608
"5","language.group",949,949,1184,1172,1051,1138,935,826,917,752
"6","language.network",256,256,332,333,283,300,256,235,279,247
"7","access",4778,4778,5193,5090,5708,5406,5074,3951,6370,4776
"8","access.group",801,801,973,990,905,957,808,687,901,751
"9","access.network",172,172,170,171,146,152,130,118,141,124
"10","access.language",1546,1546,1587,1520,1570,1509,1425,1136,1732,1338
"11","access.language.group",223,223,361,359,296,309,256,224,277,237
"12","access.language.network",59,59,90,90,74,76,64,59,69,62
